"","G2.P2.G2P4R6.brain","H2.P2.G1P3P5.brain","B3.P2.O2P4P5.brain","C3.P2.O1R4G5.brain","E3.P2.G2R4P6.brain","G3.P2.G2G4R5.brain","H3.P2.O3O4R6.brain","C4.P2.R1G2R5.brain","D4.P2.O1P2R4.brain","E4.P2.R2R5G6.brain","H4.P2.G2G3O4.brain","A5.P2.R3O5G6.brain","B5.P2.G2P3O6.brain","C5.P2.G3O4G6.brain","G5.P2.R1G3O5.brain","H5.P2.O1R2G6.brain","A6.P2.G1G2G6.brain","D6.P2.G3P4O5.brain","F6.P2.O2O3G6.brain","G6.P2.R1R4R6.brain","C7.P2.G2O3O4.brain","E7.P2.O1G2P3.brain","F7.P2.P3O5R6.brain","G7.P2.O1P5R6.brain","H7.P2.O2P3O6.brain","B8.P2.P3R4G6.brain","D8.P2.R3P5G6.brain","A9.P2.P1G4G5.brain","B9.P2.O2R5R6.brain","E9.P2.G4G5R6.brain","H9.P2.R1O2P4.brain","B10.P2.G1O5P6.brain","C10.P2.R2O3O5.brain","D10.P2.R3O5O6.brain","F10.P2.R2P5P6.brain","G10.P2.R1O2P6.brain","B11.P2.G1R2P5.brain","C11.P2.P2G3P6.brain","D11.P2.G1R4P6.brain","F11.P2.G1O3R6.brain","G11.P2.R1P2O5.brain","H11.P2.P3O5O6.brain","A12.P2.R3R5R6.brain","D12.P2.R3G5O6.brain","G12.P2.P3O4R6.brain"
"44256_2",0,0,0,0,0,0,49,0,0,72,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,1,0,0,0,0,1,0,70,0,0
"44256",31,2,123,0,0,0,2,0,15,129,0,2,1,1,7,1,4,0,0,0,0,1,1,147,0,1,1,0,61,0,1,3,1,0,56,99,1,0,87,1,11,22,80,2,0
"44257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44259",76,192,1,0,74,358,59,4,95,185,32,122,185,0,168,269,19,143,237,474,392,322,345,54,15,100,10,400,54,425,0,36,62,353,255,86,158,0,117,470,1,58,110,319,132
"44260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37,0,0,0,0,0,0
"44263",238,1,0,34,223,0,47,103,41,196,160,2,722,32,120,8,3,131,171,1,46,9,118,239,134,10,113,15,297,133,1,108,31,1,156,151,49,202,137,2,530,6,274,52,134
"44264",79,98,267,43,370,1,200,324,242,56,3,131,2,145,253,147,32,1,30,95,123,46,3,373,70,73,2,74,148,60,257,87,312,213,1,60,1,11,186,1,3,128,209,1,97
"44266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,1,0,0,0,225,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34,0,0
"44441",30,81,104,74,73,3,48,52,10,89,2,77,115,103,9,143,37,1,1,0,115,55,249,0,1,251,108,54,180,221,10,278,44,220,14,9,4,1,36,62,286,49,165,213,42
"44442",396,323,172,329,3,233,184,870,179,106,308,214,545,393,263,513,109,139,568,206,58,60,342,313,163,112,61,71,722,148,202,242,130,573,536,382,43,278,118,273,960,124,284,122,153
"44445",212,37,0,96,55,97,89,622,10,344,326,325,617,402,67,135,230,322,36,174,429,58,143,90,94,106,29,268,135,3,101,508,523,867,139,646,667,299,229,304,618,193,97,353,75
"44449",360,0,3,0,1,4,36,118,1,2,0,2,6,2,5,1,119,247,2,1,9,0,7,0,0,5,1,0,17,11,0,349,166,0,2,0,0,90,0,2,12,236,142,23,114
"44451",0,20,4,28,30,62,1,31,97,163,0,318,55,121,6,4,19,152,68,8,1,26,74,7,167,37,1,0,0,17,36,58,117,0,1,114,75,1,10,1,42,4,1,204,82
"44471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a1cf",0,0,0,50,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
"aaas",0,0,0,0,2,0,0,0,13,0,0,40,0,3,0,35,0,1,2,63,0,43,19,7,1,1,0,1,62,23,1,2,0,11,0,68,0,1,0,106,0,0,175,0,0
"aacs",0,0,0,0,0,0,59,55,137,0,0,2,0,47,0,52,1,0,0,0,79,0,6,0,0,0,0,1,0,0,12,92,0,29,0,0,0,281,0,0,0,0,7,0,0
"aadac",0,0,53,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aadat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
