"","A1.P1.R1R3G6.heart","D1.P1.G2O3R5.heart","G1.P1.R1R4G5.heart","H1.P1.P1G2R3.heart","A2.P1.O1G2R5.heart","B2.P1.R1O2P4.heart","D2.P1.P2R4G5.heart","E2.P1.G1R3G5.heart","G2.P1.R2P5P6.heart","B3.P1.P3R4G6.heart","C3.P1.G1R2P5.heart","E3.P1.G4G5R6.heart","G3.P1.P3R4R5.heart","E4.P1.P2O4G5.heart","H4.P1.R2O3O5.heart","A5.P1.G2G3O4.heart","B5.P1.G2O3O4.heart","C5.P1.P1G4O5.heart","F5.P1.O3G5R6.heart","H5.P1.R3R5R6.heart","D6.P1.G2P3O6.heart","G6.P1.O4G5G6.heart","B7.P1.P2G5G6.heart","E7.P1.R2R5G6.heart","H7.P1.O1R2G5.heart","B8.P1.O2G5R6.heart","E8.P1.R1P4R5.heart","H8.P1.G2R4P5.heart","B9.P1.O1R2O4.heart","D9.P1.G2R4P6.heart","E9.P1.O1P2O4.heart","F9.P1.R1O2R5.heart","G9.P1.G2G3O5.heart","A10.P1.O3O4G6.heart","D10.P1.P2G3P6.heart","G10.P1.R1P3O4.heart","B11.P1.G3O4G6.heart","C11.P1.O1G2P3.heart","F11.P1.G2G4R5.heart","D12.P1.O1G3G4.heart","H12.P1.O3G4O6.heart"
"44256_2",0,0,0,0,1,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0
"44256",2,82,0,0,9,0,1,0,0,2,0,0,2,0,0,39,1,228,14,63,3,0,0,0,0,0,0,0,1,1,7,2,0,1,14,0,86,4,0,3,0
"44257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44259",0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"44260",0,0,0,0,0,132,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,3,1,0,0,0,0,0,0
"44263",141,156,211,47,167,237,67,104,71,128,157,55,117,322,35,158,16,48,295,2,11,47,2,175,17,108,98,117,87,46,36,5,98,47,113,6,48,110,14,113,2
"44264",1,0,0,0,0,2,1,0,0,0,0,0,0,1,1,3,1,2,0,1,0,1,1,1,2,1,1,1,2,1,1,0,1,0,1,0,0,1,0,0,3
"44266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44441",292,79,359,57,148,261,429,227,37,8,110,85,136,110,143,132,233,255,133,58,299,156,254,144,395,205,103,30,128,392,91,76,79,239,38,135,103,301,18,73,192
"44442",0,3,1,0,4,2,1,0,1,4,0,0,2,0,0,0,4,4,16,1,41,0,0,0,0,0,0,0,0,8,1,2,0,0,0,34,0,0,1,0,1
