"","sample.ID","well.ID","plate.id","Fish.ID","tissue","Population","Habitat.temp","Cam.Temp","Sex","top_substrate"
"A10.P1.O3O4G6.heart","A10.P1.O3O4G6.heart","A10","P1","O3O4G6","heart","OCE",32,"12","M","LKA"
"A11.P1.R1P2R3.heart","A11.P1.R1P2R3.heart","A11","P1","R1P2R3","heart","OCE",32,"12","M","END"
"A12.P1.G4R5R6.heart","A12.P1.G4R5R6.heart","A12","P1","G4R5R6","heart","NOC",28,"12","F","END"
"A1.P1.R1R3G6.heart","A1.P1.R1R3G6.heart","A1","P1","R1R3G6","heart","OCE",32,"28","M","FA"
"A2.P1.O1G2R5.heart","A2.P1.O1G2R5.heart","A2","P1","O1G2R5","heart","OCE",32,"12","F","END"
"A3.P1.R3R4G6.heart","A3.P1.R3R4G6.heart","A3","P1","R3R4G6","heart","SOC",28,"28","F","LKA"
"A4.P1.O2O3G6.heart","A4.P1.O2O3G6.heart","A4","P1","O2O3G6","heart","SOC",28,"12","M","END"
"A5.P1.G2G3O4.heart","A5.P1.G2G3O4.heart","A5","P1","G2G3O4","heart","OCE",32,"12","F","FA"
"A7.P1.O1R4P5.heart","A7.P1.O1R4P5.heart","A7","P1","O1R4P5","heart","SOC",28,"12","F","END"
"A9.P1.R2O3G4.heart","A9.P1.R2O3G4.heart","A9","P1","R2O3G4","heart","SOC",28,"12","F","GLU"
"B10.P1.R1R2R4.heart","B10.P1.R1R2R4.heart","B10","P1","R1R2R4","heart","NOC",28,"12","F","LKA"
"B11.P1.G3O4G6.heart","B11.P1.G3O4G6.heart","B11","P1","G3O4G6","heart","SOC",28,"12","F","FA"
"B1.P1.G1O3R6.heart","B1.P1.G1O3R6.heart","B1","P1","G1O3R6","heart","SOC",28,"28","M","GLU"
"B2.P1.R1O2P4.heart","B2.P1.R1O2P4.heart","B2","P1","R1O2P4","heart","SOC",28,"28","M","LKA"
"B3.P1.P3R4G6.heart","B3.P1.P3R4G6.heart","B3","P1","P3R4G6","heart","SOC",28,"28","F","FA"
"B4.P1.O1O3R4.heart","B4.P1.O1O3R4.heart","B4","P1","O1O3R4","heart","NOC",28,"28","F","GLU"
"B5.P1.G2O3O4.heart","B5.P1.G2O3O4.heart","B5","P1","G2O3O4","heart","NOC",28,"12","M","END"
"B7.P1.P2G5G6.heart","B7.P1.P2G5G6.heart","B7","P1","P2G5G6","heart","SOC",28,"12","M","END"
"B8.P1.O2G5R6.heart","B8.P1.O2G5R6.heart","B8","P1","O2G5R6","heart","OCE",32,"28","M","GLU"
"B9.P1.O1R2O4.heart","B9.P1.O1R2O4.heart","B9","P1","O1R2O4","heart","NOC",28,"28","F","LKA"
"C11.P1.O1G2P3.heart","C11.P1.O1G2P3.heart","C11","P1","O1G2P3","heart","SOC",28,"12","M","GLU"
"C12.P1.P1R4P5.heart","C12.P1.P1R4P5.heart","C12","P1","P1R4P5","heart","SOC",28,"12","F","END"
"C1.P1.G1R2R6.heart","C1.P1.G1R2R6.heart","C1","P1","G1R2R6","heart","SOC",28,"28","M","FA"
"C2.P1.R3P5G6.heart","C2.P1.R3P5G6.heart","C2","P1","R3P5G6","heart","OCE",32,"28","M","LKA"
"C3.P1.G1R2P5.heart","C3.P1.G1R2P5.heart","C3","P1","G1R2P5","heart","NOC",28,"28","M","GLU"
"C5.P1.P1G4O5.heart","C5.P1.P1G4O5.heart","C5","P1","P1G4O5","heart","SOC",28,"28","M","GLU"
"C6.P1.O1G3P6.heart","C6.P1.O1G3P6.heart","C6","P1","O1G3P6","heart","OCE",32,"28","M","LKA"
"C7.P1.R3O5O6.heart","C7.P1.R3O5O6.heart","C7","P1","R3O5O6","heart","NOC",28,"12","F","END"
"C9.P1.G1O5P6.heart","C9.P1.G1O5P6.heart","C9","P1","G1O5P6","heart","OCE",32,"28","M","LKA"
"D10.P1.P2G3P6.heart","D10.P1.P2G3P6.heart","D10","P1","P2G3P6","heart","NOC",28,"28","M","GLU"
"D11.P1.O1R2G6.heart","D11.P1.O1R2G6.heart","D11","P1","O1R2G6","heart","OCE",32,"12","F","GLU"
"D12.P1.O1G3G4.heart","D12.P1.O1G3G4.heart","D12","P1","O1G3G4","heart","OCE",32,"12","M","FA"
"D1.P1.G2O3R5.heart","D1.P1.G2O3R5.heart","D1","P1","G2O3R5","heart","SOC",28,"28","F","LKA"
"D2.P1.P2R4G5.heart","D2.P1.P2R4G5.heart","D2","P1","P2R4G5","heart","OCE",32,"28","F","LKA"
"D4.P1.P1O3R4.heart","D4.P1.P1O3R4.heart","D4","P1","P1O3R4","heart","NOC",28,"28","M","GLU"
"D6.P1.G2P3O6.heart","D6.P1.G2P3O6.heart","D6","P1","G2P3O6","heart","SOC",28,"12","F","END"
"D8.P1.O1P5R6.heart","D8.P1.O1P5R6.heart","D8","P1","O1P5R6","heart","NOC",28,"12","F","END"
